#;RefDes;Name;Value
1;B1;Bat_Li-ioh 3V;
2;C1;HAE102MBABFGKR;20uF
3;C2;HAE102MBABFGKR;0,1uF
4;C3;HAE102MBABFGKR;0,1uF
5;C4;HAE102MBABFGKR;20uF
6;C5;HAE102MBABFGKR;1uF
7;C6;CAP100;100pF
8;C7;;10n 1600V
9;C8;CAP_1206;10x1kV
10;D1;BZT52C36-HE3-18;
11;D2;BAV99,215;
12;D3;BAV99,215;
13;D4;S1M;
14;D5;APGA1602CGC-KA;GREEN
15;D6;APGA1602CGC-KA;ORANGE
16;J1;SBM-20-A;
17;J2;2-pin;
18;J3;SBM-20-K;
19;J4;2-pin;
20;LS1;PKLCS1212E4001-R1;
21;Q1;NDS352AP;
22;Q2;2C1623;
23;Q3;MMBT3906;
24;Q4;2C1623;
25;Q5;NDS352AP;0.5Ohm P-Channel
26;Q6;SS8550;
27;Q7;SS8500;
28;R1;RES_0603;100
29;R2;RES_0603;100k
30;R3;RES_0805;10
31;R4;RES_0603;820
32;R5;;27k*
33;R6;;nc*
34;R7;RES_0805;3R3
35;R8;RES_0603;390
36;R9;RES_0603;100k
37;R10;RES_0603;4k7
38;R11;;12k
39;R12;;nc*
40;R13;RES_0603;100k
41;R14;RES_0603;100k
42;R15;RES_0603;270
43;R16;RES_0603;100
44;R17;RES_0603;270
45;R18;;10M
46;R19;RES_0603;20k
47;R20;RES_0603;100
48;R21;RES_0603;510k
49;R22;RES_0603;20k
50;R23;RES_0603;820
51;S1;B3F-3122;
52;T1;161D34;
53;U1;nRF51822mini;
